artist_name,genre,LQS_mean,n
the mavericks,country,0.0,1
the monkees,pop,0.0,1
the notorious b.i.g.,pop,0.0,1
the oh hellos,pop,0.0,1
the ventures,rock,0.0,1
the waterboys,pop,0.0,1
the yardbirds,blues,0.0,1
tommy castro,blues,0.0,1
tony williams,jazz,0.0,1
tori kelly,pop,0.0,1
touré kunda,reggae,0.0,1
tracy lawrence,country,0.0,1
tricky,jazz,0.0,1
têtes raides,reggae,0.0,1
uncle kracker,country,0.0,1
voxtrot,pop,0.0,1
wade bowen,country,0.0,1
wailing souls,reggae,0.0,1
wendell b,blues,0.0,1
yusef lateef,jazz,0.0,1
