artist_name,genre,track_name,coherence_prime,diversity,novelty,LQS
buddy holly,pop,changing all those changes,0.0,0.0,0.021680633227030427,0.005420158306757607
johnny mathis,pop,no love (but your love),0.0,0.0,0.0,0.0
bobby darin,pop,pretty betty,0.0,0.0,0.23464951912562051,0.05866237978140513
buddy holly,pop,well...all right,0.0,0.0,0.13739957412083945,0.03434989353020986
johnny mathis,pop,"wonderful, wonderful",0.0,0.0,0.0,0.0
buddy holly,pop,i'm gonna love you too,0.0,0.0,0.05197379986445108,0.01299344996611277
johnny mathis,pop,sleigh ride,0.0,0.0,0.08508596817652384,0.02127149204413096
johnny mathis,pop,the twelfth of never,0.0,0.0,0.0,0.0
jackie wilson,pop,to be loved,0.0,0.0,0.06986522674560547,0.017466306686401367
johnny mathis,pop,when sunny gets blue,0.0,0.0,0.0,0.0
buddy holly,pop,words of love,0.0,0.0,0.0,0.0
ricky nelson,pop,poor little fool,0.0,0.0,0.02703034877777099,0.006757587194442747
frankie laine,pop,high noon,0.0,0.0,0.0,0.0
buddy holly,pop,"blue days, black nights",0.0,0.0,0.0,0.0
buddy holly,pop,take your time,0.0,0.0,0.04109366734822591,0.010273416837056477
johnny mathis,pop,winter wonderland,0.0,0.0,0.02440824111302693,0.006102060278256732
buddy holly,pop,little baby,0.0,0.0,0.0,0.0
buddy holly,pop,valley of tears,0.0,0.0,0.0,0.0
frankie lymon,pop,diana,0.0,0.0,0.0,0.0
the everly brothers,pop,long time gone,0.0,0.0,0.006898979345957429,0.0017247448364893572
the everly brothers,pop,roving gambler,0.0,0.0,0.016464432080586743,0.004116108020146686
buddy holly,pop,listen to me,0.0,0.0,0.018441120783487946,0.004610280195871987
buddy holly,pop,you are my one desire,0.0,0.0,0.0,0.0
buddy holly,pop,love me,0.0,0.0,0.0,0.0
perry como,pop,love letters,0.0,0.0,0.0,0.0
the drifters,pop,drifting away from you,0.0,0.0,0.0,0.0
the drifters,pop,moonlight bay,0.0,0.0,0.1506253480911255,0.03765633702278137
the platters,pop,i'll take you home again kathleen,0.0,0.0,0.0,0.0
the platters,pop,my serenade,0.0,0.0,0.109143594900767,0.02728589872519175
the platters,pop,sleepy time gal,0.0,0.0,0.02426618337631225,0.006066545844078062
the platters,pop,try a little tenderness,0.0,0.0,0.0,0.0
mantovani,pop,"god rest ye merry, gentlemen",0.0,0.0,0.0,0.0
jerry vale,pop,all of me,0.0,0.0,0.0,0.0
the platters,pop,that old feeling,0.0,0.0,0.0,0.0
the platters,pop,for the first time,0.0,0.0,0.08780473470687866,0.021951183676719666
ricky nelson,pop,believe what you say,0.0,0.0,0.1840487519900004,0.0460121879975001
ricky nelson,pop,my bucket's got a hole in it,0.0,0.0,0.29555116097132367,0.07388779024283092
frankie laine,pop,jealousy (jalousie),0.0,0.0,0.0,0.0
the platters,pop,it's raining outside,0.0,0.0,0.0016586383183797109,0.0004146595795949277
jerry lee lewis,pop,good night irene,0.0,0.0,0.17416401704152426,0.043541004260381065
johnny mathis,pop,blue christmas,0.0,0.0,0.19787762562433878,0.049469406406084694
the platters,pop,whispering wind,0.0,0.0,0.027531822522481274,0.006882955630620319
jackie wilson,pop,as long as i live,0.0,0.0,0.0,0.0
jackie wilson,pop,right now!,0.0,0.0,0.0,0.0
frankie laine,pop,granada,0.0,0.0,0.0,0.0
frankie laine,pop,your cheatin' heart,0.0,0.0,0.0,0.0
the platters,pop,but not like you,0.0,0.0,0.0,0.0
jackie wilson,pop,danny boy,0.0,0.0,0.2560148040453593,0.06400370101133983
frankie laine,pop,that's my desire,0.0,0.0,0.0,0.0
ricky nelson,pop,don't leave me,0.0,0.0,0.024759213129679353,0.006189803282419838
jerry vale,pop,"promises, promises",0.0,0.0,0.0,0.0
jerry vale,pop,moonglow,0.0,0.0,0.15686029195785522,0.039215072989463806
neil sedaka,pop,i belong to you,0.0,0.0,0.0,0.0
neil sedaka,pop,crying my heart out for you,0.0,0.0,0.0,0.0
neil sedaka,pop,moon of gold,0.0,0.0,0.0,0.0
neil sedaka,pop,i waited too long,0.0,0.0,0.0,0.0
neil sedaka,pop,forty winks away,0.0,0.0,0.0,0.0
neil sedaka,pop,no vacancy,0.0,0.0,0.07539484898249307,0.01884871224562327
ricky nelson,pop,blood from a stone,0.0,0.0,0.0,0.0
neil sedaka,pop,going home to mary lou,0.0,0.0,0.616748869419098,0.1541872173547745
cliff richard & the shadows,pop,i'm walkin',0.0,0.0,0.0,0.0
shirley bassey,pop,i've got you under my skin,0.0,0.0,0.0,0.0
neil sedaka,pop,walk with me,0.0,0.0,0.03675554196039835,0.009188885490099587
neil sedaka,pop,as long as i live,0.0,0.0,0.0,0.0
neil sedaka,pop,the same old fool,0.0,0.0,0.0,0.0
jackie wilson,pop,love is all,0.0,0.0,0.0,0.0
ghantasala,pop,shiva shankari shivananda,0.0,0.0,0.0,0.0
lloyd price,pop,i wish your picture was you,0.0,0.0,0.0,0.0
johnny mathis,pop,stairway to the sea (scalinatella),0.0,0.0,0.0,0.0
johnny mathis,pop,embraceable you,0.0,0.0,0.11586759487787882,0.028966898719469704
johnny mathis,pop,let's love,0.0,0.0,0.0,0.0
tony dallara,pop,oceano,0.0,0.0,0.021131575107574456,0.005282893776893614
rania,pop,منك بخاف,0.0,0.0,0.0,0.0
ira ironstrings,pop,let it snow! let it snow! let it snow!,0.0,0.0,0.0,0.0
brenda lee,pop,back in your own back yard,0.0,0.0,0.0,0.0
johnny mathis,pop,you better go now,0.0,0.0,0.027553975582122796,0.006888493895530699
johnny mathis,pop,i'm just a boy in love,0.0,0.0,0.0,0.0
johnny mathis,pop,secret love,0.0,0.0,0.05475515127182006,0.013688787817955015
johnny mathis,pop,where are you?,0.0,0.0,0.0,0.0
johnny mathis,pop,faithfully,0.0,0.0,0.0,0.0
connie francis,pop,have yourself a merry little christmas,0.0,0.0,0.012946466604868562,0.0032366166512171404
connie francis,pop,i'll be home for christmas,0.0,0.0,0.3217444221178691,0.08043610552946727
lavern baker,pop,"touch me, lord jesus",0.0,0.0,0.0,0.0
jackie wilson,pop,happiness,0.0,0.0,0.0,0.0
jackie wilson,pop,"only you, only me",0.0,0.0,0.035651365915934236,0.008912841478983559
jackie wilson,pop,it's all a part of love,0.0,0.0,0.0,0.0
the brothers four,pop,superman,0.0,0.0,0.2672131260236104,0.0668032815059026
the brothers four,pop,angelique-o,0.0,0.0,0.22022499640782675,0.05505624910195669
the brothers four,pop,the damsel's lament (i never will marry),0.0,0.0,0.0,0.0
johnny mathis,pop,i'll be easy to find,0.0,0.0,0.0,0.0
the platters,pop,prisoner of love,0.0,0.0,0.0,0.0
the platters,pop,if i didn't care,0.0,0.0,0.0,0.0
the flamingos,pop,as time goes by,0.0,0.0,0.0,0.0
johnny mathis,pop,when i fall in love,0.0,0.0,0.0,0.0
the platters,pop,i'll never smile again,0.0,0.0,0.0,0.0
connie francis,pop,mama,0.0,0.0,0.0,0.0
ritchie valens,pop,rockin' all night,0.0,0.0,0.0,0.0
dion & the belmonts,pop,i got the blues,0.0,0.0,0.0,0.0
bobby darin,pop,through a long and sleepless night,0.0,0.0,0.0,0.0
ricky nelson,pop,sweeter than you,0.0,0.0,0.08960092067718506,0.022400230169296265
dion & the belmonts,pop,no one knows,0.0,0.0,0.0,0.0
connie francis,pop,non dimenticar,0.0,0.0,0.15360160668691,0.0384004016717275
the byrds,pop,turn! turn! turn! (to everything there is a season),0.0,0.0,0.0,0.0
simon & garfunkel,pop,mrs. robinson,0.0,0.0,0.0,0.0
the brothers four,pop,yellow bird,0.0,0.0,0.0,0.0
ritchie valens,pop,stay beside me,0.0,0.0,0.0,0.0
dion & the belmonts,pop,just you,0.0,0.0,0.0,0.0
neil sedaka,pop,you mean everything to me,0.0,0.0,0.0,0.0
fats domino,pop,i'm walkin',0.0,0.0,0.0,0.0
jackie wilson,pop,lonely teardrops,0.0,0.0,0.0,0.0
neil sedaka,pop,oh! carol,0.0,0.0,0.0,0.0
ricky nelson,pop,lonesome town,0.0,0.0,0.0,0.0
fats domino,pop,blueberry hill,0.0,0.0,0.16839508215586343,0.04209877053896586
fats domino,pop,ain't that a shame,0.0,0.0,0.1159174640973409,0.028979366024335224
the platters,pop,smoke gets in your eyes,0.0,0.0,0.0,0.0
dion & the belmonts,pop,a teenager in love,0.0,0.0,0.0,0.0
ritchie valens,pop,we belong together,0.0,0.0,0.21375173330307007,0.05343793332576752
connie francis,pop,winter wonderland,0.0,0.0,0.14832292000452676,0.03708073000113169
ritchie valens,pop,paddiwack song,0.0,0.0,0.36562933524449664,0.09140733381112416
esquivel!,pop,boulevard of broken dreams,0.0,0.0,0.0631224513053894,0.01578061282634735
ricky nelson,pop,it's late,0.0,0.0,0.0,0.0
bobby darin,pop,i'll remember april,0.0,0.0,0.0,0.0
ritchie valens,pop,my darling is gone,0.0,0.0,0.020295619964599602,0.005073904991149901
the flamingos,pop,"music, maestro, please!",0.0,0.0,0.02679113547007242,0.006697783867518105
dion & the belmonts,pop,that's my desire,0.0,0.0,0.0,0.0
the clovers,pop,fool fool fool,0.0,0.0,0.15364223718643188,0.03841055929660797
the clovers,pop,all about you,0.0,0.0,0.0,0.0
harry belafonte,pop,the marching saints,0.0,0.0,0.4104551076889038,0.10261377692222595
neil sedaka,pop,i must be dreaming,0.0,0.0,0.0,0.0
ricky nelson,pop,one minute to one,0.0,0.0,0.0,0.0
connie francis,pop,you alone,0.0,0.0,0.0,0.0
esquivel!,pop,all of me,0.0,0.0,0.0,0.0
the platters,pop,love in bloom,0.0,0.0,0.0,0.0
neil sedaka,pop,all i need is you,0.0,0.0,0.0,0.0
johnny mathis,pop,tonight,0.0,0.0,0.10983202854792276,0.02745800713698069
johnny mathis,pop,call me,0.0,0.0,0.0,0.0
neil sedaka,pop,run samson run,0.0,0.0,0.0,0.0
ricky nelson,pop,half breed,0.0,0.0,0.22344444195429483,0.05586111048857371
connie francis,pop,i have but one heart,0.0,0.0,0.04853222767512003,0.012133056918780007
brenda lee,pop,baby face,0.0,0.0,0.0,0.0
the brothers four,pop,sama kama wacky brown,0.0,0.0,0.6165022055308025,0.15412555138270062
simon & garfunkel,pop,the sound of silence,0.0,0.0,0.0,0.0
neil sedaka,pop,one way ticket,0.0,0.0,0.09169572591781616,0.02292393147945404
dion & the belmonts,pop,don't pity me,0.0,0.0,0.18233631054560342,0.045584077636400856
harry belafonte,pop,swing low,0.0,0.0,0.1843237280845642,0.04608093202114105
neil sedaka,pop,another sleepless night,0.0,0.0,0.0,0.0
bobby darin,pop,it ain't necessarily so,0.0,0.0,0.18164857228597006,0.045412143071492515
johnny mathis,pop,stranger in paradise,0.0,0.0,0.0,0.0
bobby darin,pop,that's the way love is,0.0,0.0,0.0,0.0
