artist_name,genre,LQS_mean,n
band of horses,pop,0.048901100953420006,1
canned heat,blues,0.04875663717587789,5
mndsgn,jazz,0.048519263664881386,3
steve lawrence,pop,0.04842192927996317,1
desmond dekker,reggae,0.048333161407046854,12
los cafres,reggae,0.0483145962158839,3
swingrowers,jazz,0.04823617471588983,3
harry belafonte,pop,0.04806396447949939,18
t-rock,hip hop,0.04796490735477871,3
joya landis,reggae,0.047915980219841,2
swans,jazz,0.04764727668629753,12
republica,pop,0.04754487176736196,1
sonny clark,jazz,0.04732749859491985,3
julian cope,pop,0.04693521559238434,1
ramp,jazz,0.046793848276138306,2
famous dex,pop,0.0467433954278628,2
marcus miller,jazz,0.04670648276805878,2
superdrag,pop,0.04662075142065684,1
levon helm,blues,0.046279676258563995,6
patra,reggae,0.046241695061326034,4
chet atkins,country,0.04622791436585513,11
joe south,pop,0.04531821608543396,1
the brothers four,pop,0.04522822486857574,8
the sound,pop,0.04518800146049923,3
elvin bishop,country,0.04506709426641464,2
jimmy riley,reggae,0.04500015079975128,1
bo carter,blues,0.04472969472408295,1
tom paxton,rock,0.044708386063575745,1
saxon,rock,0.04463800291220347,1
johnny clarke,reggae,0.044611572115509604,9
selena gomez,pop,0.04459237853686015,5
calexico,country,0.04457497100035349,1
matthew halsall,jazz,0.044477492570877075,1
gang of four,pop,0.04416473706563313,5
the penguins,blues,0.04412065943082174,1
professor longhair,blues,0.04407164702812831,4
kelly rowland,hip hop,0.043995936711629234,1
tony! toni! toné!,pop,0.04390385581387413,3
marc reis,hip hop,0.0438177635272344,2
main one,hip hop,0.04365755617618561,1
big black,pop,0.04341203843553861,4
scott grooves,jazz,0.04340249796708425,1
mandrill,jazz,0.04308651553259955,3
john klemmer,jazz,0.04295403013626734,2
diplo,pop,0.04290379335482915,2
sufjan stevens,rock,0.042871786488427065,3
hippo campus,rock,0.04249310493469238,1
champion jack dupree,blues,0.04240635699696011,3
travis,pop,0.042375460267066956,1
matt bianco,pop,0.04231831431388855,1
slim whitman,country,0.04211309717761146,3
the meditations,reggae,0.04188580811023712,1
the cinematic orchestra,jazz,0.04187844528092279,3
electric six,rock,0.04180005192756653,1
camel,jazz,0.04164912613729636,8
frank zappa,jazz,0.04131836191844688,63
stigmato inc,jazz,0.0412792315085729,1
rudy mills,reggae,0.04114534457524618,1
weldon irvine,jazz,0.04104681147469414,3
shelley fabares,pop,0.04102015594641368,5
dr. feelgood,blues,0.04101226478815079,2
amp fiddler,jazz,0.04093220829963684,1
terence blanchard,jazz,0.040926024317741394,1
liva weel,pop,0.04030611117680868,1
bent,jazz,0.04017110334502327,6
fumez the engineer,hip hop,0.04003068804740906,1
ray bonneville,country,0.03989320000012716,1
jay reatard,blues,0.03974509659485939,13
leaf beach,jazz,0.039699771338038974,3
david crosby,country,0.03961447377999624,1
delicatessen,jazz,0.03959655513366063,2
lemon jelly,jazz,0.03955837885538736,5
velvet revolver,rock,0.039535149931907654,1
john sebastian,rock,0.03950353463490804,1
swell maps,blues,0.039456475112173296,6
suzi quatro,pop,0.039187060048182815,4
soft machine,jazz,0.03905301623874241,3
dj cam quartet,jazz,0.03905173142751058,1
eldissa,jazz,0.03892820245689816,3
the buggles,pop,0.038798226664463684,4
the presidents of the united states of america,pop,0.03878343105316162,2
mud flow,rock,0.038770521680514015,1
blind boy fuller,country,0.03873021403948466,1
majek fashek,reggae,0.038685585061709084,1
sig ragga,reggae,0.03867711623509725,1
the cult,rock,0.03861243277788162,2
marianne faithfull,pop,0.038596500953038536,1
björk,pop,0.03854356581966082,12
etta jones,jazz,0.03830146292845408,3
phantogram,pop,0.03829418867826462,2
roy ayers ubiquity,jazz,0.038204356034596765,5
gary smith,jazz,0.03807384272416433,1
young mc,hip hop,0.03804376059108311,3
bobby vee,pop,0.038016278392229326,13
tommy mcclennan,country,0.03800445298353831,1
katie noel,country,0.03794785340627035,1
da brat,pop,0.037900889913241066,1
the del-vikings,pop,0.037817095716794334,1
enrique iglesias,pop,0.03771000703175863,5
lady gaga,pop,0.03769307555975737,9
the replacements,country,0.03758294003851274,17
fear factory,rock,0.03753959139188131,3
gramatik,jazz,0.03744123574523699,14
chris smither,blues,0.03719815115133921,1
missy elliott,pop,0.03710443029801051,4
bloodhound gang,rock,0.037010371685028076,2
larry carlton,jazz,0.036951961616675064,6
stampeders,rock,0.03690757850805918,1
gene vincent,rock,0.03674281885226568,4
soul coughing,pop,0.036591604351997375,3
dj shadow,jazz,0.03657444594083009,9
silverchair,pop,0.036506968239943184,2
ashlee simpson,pop,0.036423683166503906,2
christian mcbride,jazz,0.036317095160484314,1
booker t. & the m.g.'s,blues,0.03618222723404566,2
local h,rock,0.036178141832351685,1
nirvana,rock,0.03606713712215424,20
link wray,blues,0.03604599723109493,9
still woozy,rock,0.03588093817234039,1
helen kane,jazz,0.035867477456728615,1
furry lewis,blues,0.03580243388811747,1
catherine wheel,pop,0.0357646428876453,3
wipers,pop,0.035715097685654965,10
mutabaruka,reggae,0.0357053279876709,1
pixies,pop,0.03569456815719605,25
laura nyro,pop,0.03563193355997403,4
louis jordan,blues,0.03549360732237498,1
nils,jazz,0.03531057884295782,2
pat travers,blues,0.03525915642579397,5
esperanza spalding,jazz,0.03525445929595402,7
tyga,pop,0.03525266547997793,4
derrick morgan,reggae,0.035206303993860884,5
veruca salt,pop,0.03511932243903478,2
gorillaz,pop,0.03510555941047091,11
gary hoey,blues,0.03506472706794739,1
amy grant,rock,0.03505209982395173,5
ken mellons,country,0.03488104542096456,1
baccara,pop,0.034866069753964744,1
zoot sims,jazz,0.03471264739831289,3
odetta,blues,0.034546536979851904,9
